※ 매월 말일자 통계 현황,,,,,,,
,,2022년06월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1153056000,서울특별시 구로구 구로제5동,"29,509","15,597",          1.89,"14,251","15,258",          0.93
1153059500,서울특별시 구로구 가리봉동,"9,050","6,140",          1.47,"4,938","4,112",          1.20
1153072000,서울특별시 구로구 고척제1동,"21,876","9,437",          2.32,"10,884","10,992",          0.99
1153073000,서울특별시 구로구 고척제2동,"26,433","11,494",          2.30,"13,095","13,338",          0.98
1153074000,서울특별시 구로구 개봉제1동,"33,591","14,950",          2.25,"16,741","16,850",          0.99
1153075000,서울특별시 구로구 개봉제2동,"30,541","12,533",          2.44,"14,896","15,645",          0.95
1153076000,서울특별시 구로구 개봉제3동,"20,201","8,863",          2.28,"9,808","10,393",          0.94
1153077000,서울특별시 구로구 오류제1동,"22,388","12,138",          1.84,"10,826","11,562",          0.94
1153078000,서울특별시 구로구 오류제2동,"38,252","15,719",          2.43,"18,373","19,879",          0.92
1153079000,서울특별시 구로구 수궁동,"23,256","9,997",          2.33,"11,452","11,804",          0.97
1153080000,서울특별시 구로구 항동,"16,498","6,284",          2.63,"8,048","8,450",          0.95
1154500000,서울특별시 금천구 ,"231,565","119,627",          1.94,"116,811","114,754",          1.02
1154551000,서울특별시 금천구 가산동,"24,067","17,286",          1.39,"12,997","11,070",          1.17
1154561000,서울특별시 금천구 독산제1동,"45,827","24,174",          1.90,"23,473","22,354",          1.05
1154562000,서울특별시 금천구 독산제2동,"18,588","9,556",          1.95,"9,402","9,186",          1.02
1154563000,서울특별시 금천구 독산제3동,"24,241","12,932",          1.87,"12,132","12,109",          1.00
1154564000,서울특별시 금천구 독산제4동,"15,069","7,733",          1.95,"7,596","7,473",          1.02
1154567000,서울특별시 금천구 시흥제1동,"32,733","16,266",          2.01,"16,235","16,498",          0.98
1154568000,서울특별시 금천구 시흥제2동,"20,932","8,223",          2.55,"10,039","10,893",          0.92
1154569000,서울특별시 금천구 시흥제3동,"10,741","4,746",          2.26,"5,318","5,423",          0.98
1154570000,서울특별시 금천구 시흥제4동,"20,291","9,293",          2.18,"10,030","10,261",          0.98
1154571000,서울특별시 금천구 시흥제5동,"19,076","9,418",          2.03,"9,589","9,487",          1.01
1156000000,서울특별시 영등포구 ,"376,437","188,759",          1.99,"185,460","190,977",          0.97
1156051500,서울특별시 영등포구 영등포본동,"21,224","10,509",          2.02,"10,877","10,347",          1.05
1156053500,서울특별시 영등포구 영등포동,"29,481","20,735",          1.42,"15,317","14,164",          1.08
1156054000,서울특별시 영등포구 여의동,"32,746","13,405",          2.44,"15,362","17,384",          0.88
1156055000,서울특별시 영등포구 당산제1동,"20,367","10,933",          1.86,"9,943","10,424",          0.95
1156056000,서울특별시 영등포구 당산제2동,"37,514","19,116",          1.96,"17,593","19,921",          0.88
1156058500,서울특별시 영등포구 도림동,"17,822","9,566",          1.86,"8,995","8,827",          1.02
1156060500,서울특별시 영등포구 문래동,"32,514","13,186",          2.47,"15,895","16,619",          0.96
1156061000,서울특별시 영등포구 양평제1동,"18,378","9,895",          1.86,"8,981","9,397",          0.96
1156062000,서울특별시 영등포구 양평제2동,"22,322","10,831",          2.06,"10,924","11,398",          0.96
1156063000,서울특별시 영등포구 신길제1동,"17,375","10,774",          1.61,"8,863","8,512",          1.04
1156065000,서울특별시 영등포구 신길제3동,"16,480","7,652",          2.15,"8,154","8,326",          0.98
1156066000,서울특별시 영등포구 신길제4동,"12,380","5,776",          2.14,"6,155","6,225",          0.99
1156067000,서울특별시 영등포구 신길제5동,"10,413","4,764",          2.19,"5,070","5,343",          0.95
1156068000,서울특별시 영등포구 신길제6동,"19,099","9,243",          2.07,"9,342","9,757",          0.96
1156069000,서울특별시 영등포구 신길제7동,"19,948","7,908",          2.52,"9,960","9,988",          1.00
1156070000,서울특별시 영등포구 대림제1동,"14,306","7,101",          2.01,"7,102","7,204",          0.99
1156071000,서울특별시 영등포구 대림제2동,"11,884","6,944",          1.71,"5,853","6,031",          0.97
1156072000,서울특별시 영등포구 대림제3동,"22,184","10,421",          2.13,"11,074","11,110",          1.00
1159000000,서울특별시 동작구 ,"385,898","187,380",          2.06,"186,506","199,392",          0.94
1159051000,서울특별시 동작구 노량진제1동,"31,928","16,349",          1.95,"16,072","15,856",          1.01
1159052000,서울특별시 동작구 노량진제2동,"10,639","6,917",          1.54,"5,504","5,135",          1.07
1159053000,서울특별시 동작구 상도제1동,"44,361","22,127",          2.00,"21,517","22,844",          0.94
1159054000,서울특별시 동작구 상도제2동,"27,887","12,632",          2.21,"13,352","14,535",          0.92
1159055000,서울특별시 동작구 상도제3동,"24,340","12,135",          2.01,"11,580","12,760",          0.91
1159056000,서울특별시 동작구 상도제4동,"28,464","14,229",          2.00,"13,815","14,649",          0.94
1159060500,서울특별시 동작구 흑석동,"31,180","14,081",          2.21,"15,152","16,028",          0.95
1159062000,서울특별시 동작구 사당제1동,"22,793","13,628",          1.67,"10,886","11,907",          0.91
1159063000,서울특별시 동작구 사당제2동,"28,512","12,571",          2.27,"13,659","14,853",          0.92
1159064000,서울특별시 동작구 사당제3동,"24,205","10,534",          2.30,"11,746","12,459",          0.94
1159065000,서울특별시 동작구 사당제4동,"14,144","7,263",          1.95,"6,744","7,400",          0.91
1159065100,서울특별시 동작구 사당제5동,"14,372","6,660",          2.16,"6,885","7,487",          0.92
1159066000,서울특별시 동작구 대방동,"37,735","17,348",          2.18,"17,883","19,852",          0.90
1159067000,서울특별시 동작구 신대방제1동,"23,145","10,315",          2.24,"11,083","12,062",          0.92
1159068000,서울특별시 동작구 신대방제2동,"22,193","10,591",          2.10,"10,628","11,565",          0.92
1162000000,서울특별시 관악구 ,"486,946","281,423",          1.73,"244,722","242,224",          1.01
1162052500,서울특별시 관악구 보라매동,"24,450","13,131",          1.86,"12,034","12,416",          0.97
1162054500,서울특별시 관악구 청림동,"15,008","6,460",          2.32,"7,265","7,743",          0.94
1162056500,서울특별시 관악구 성현동,"28,902","12,304",          2.35,"13,950","14,952",          0.93
1162057500,서울특별시 관악구 행운동,"29,248","18,156",          1.61,"14,171","15,077",          0.94
1162058500,서울특별시 관악구 낙성대동,"17,252","11,728",          1.47,"8,664","8,588",          1.01
1162059500,서울특별시 관악구 청룡동,"35,760","23,824",          1.50,"17,293","18,467",          0.94
1162060500,서울특별시 관악구 은천동,"32,895","16,077",          2.05,"16,053","16,842",          0.95
1162061500,서울특별시 관악구 중앙동,"15,331","10,091",          1.52,"7,373","7,958",          0.93
1162062500,서울특별시 관악구 인헌동,"25,941","14,743",          1.76,"12,595","13,346",          0.94
1162063000,서울특별시 관악구 남현동,"18,062","9,814",          1.84,"8,713","9,349",          0.93
1162064500,서울특별시 관악구 서원동,"22,894","14,703",          1.56,"11,944","10,950",          1.09
1162065500,서울특별시 관악구 신원동,"17,931","11,264",          1.59,"9,067","8,864",          1.02
1162066500,서울특별시 관악구 서림동,"23,273","14,637",          1.59,"12,877","10,396",          1.24
1162068500,서울특별시 관악구 신사동,"22,828","14,351",          1.59,"11,456","11,372",          1.01
1162069500,서울특별시 관악구 신림동,"23,000","18,695",          1.23,"12,141","10,859",          1.12
1162071500,서울특별시 관악구 난향동,"15,173","6,300",          2.41,"7,416","7,757",          0.96
1162072500,서울특별시 관악구 조원동,"17,523","11,045",          1.59,"8,793","8,730",          1.01
1162073500,서울특별시 관악구 대학동,"23,487","16,378",          1.43,"14,225","9,262",          1.54
1162074500,서울특별시 관악구 삼성동,"20,972","10,072",          2.08,"10,470","10,502",          1.00
1162076500,서울특별시 관악구 미성동,"30,485","14,504",          2.10,"14,916","15,569",          0.96
1162077500,서울특별시 관악구 난곡동,"26,531","13,146",          2.02,"13,306","13,225",          1.01
1165000000,서울특별시 서초구 ,"407,672","169,518",          2.40,"194,819","212,853",          0.92
1165051000,서울특별시 서초구 서초1동,"20,588","9,508",          2.17,"9,938","10,650",          0.93
1165052000,서울특별시 서초구 서초2동,"26,543","11,647",          2.28,"12,661","13,882",          0.91
1165053000,서울특별시 서초구 서초3동,"32,164","15,268",          2.11,"15,342","16,822",          0.91
1165053100,서울특별시 서초구 서초4동,"30,586","10,884",          2.81,"14,927","15,659",          0.95
1165054000,서울특별시 서초구 잠원동,"26,611","10,759",          2.47,"12,815","13,796",          0.93
1165055000,서울특별시 서초구 반포본동,391,205,          1.91,183,208,          0.88
1165056000,서울특별시 서초구 반포1동,"34,437","15,048",          2.29,"16,733","17,704",          0.95
1165057000,서울특별시 서초구 반포2동,"15,721","5,001",          3.14,"7,476","8,245",          0.91
1165058000,서울특별시 서초구 반포3동,"21,875","7,623",          2.87,"10,411","11,464",          0.91
1165058100,서울특별시 서초구 반포4동,"19,058","7,159",          2.66,"8,955","10,103",          0.89
1165059000,서울특별시 서초구 방배본동,"20,690","7,995",          2.59,"9,554","11,136",          0.86
1165060000,서울특별시 서초구 방배1동,"16,788","7,522",          2.23,"7,879","8,909",          0.88
1165061000,서울특별시 서초구 방배2동,"18,660","8,126",          2.30,"8,742","9,918",          0.88
1165062000,서울특별시 서초구 방배3동,"18,322","6,926",          2.65,"8,829","9,493",          0.93
1165062100,서울특별시 서초구 방배4동,"23,237","9,696",          2.40,"10,587","12,650",          0.84
1165065100,서울특별시 서초구 양재1동,"42,727","17,891",          2.39,"20,401","22,326",          0.91
1165065200,서울특별시 서초구 양재2동,"21,768","10,954",          1.99,"10,910","10,858",          1.00
1165066000,서울특별시 서초구 내곡동,"17,506","7,306",          2.40,"8,476","9,030",          0.94
1168000000,서울특별시 강남구 ,"531,777","234,885",          2.26,"254,333","277,444",          0.92
1168051000,서울특별시 강남구 신사동,"15,752","6,971",          2.26,"7,301","8,451",          0.86
1168052100,서울특별시 강남구 논현1동,"22,004","14,120",          1.56,"10,352","11,652",          0.89
1168053100,서울특별시 강남구 논현2동,"20,826","11,349",          1.84,"9,734","11,092",          0.88
1168054500,서울특별시 강남구 압구정동,"26,064","10,213",          2.55,"12,065","13,999",          0.86
1168056500,서울특별시 강남구 청담동,"25,446","11,197",          2.27,"11,882","13,564",          0.88
1168058000,서울특별시 강남구 삼성1동,"12,724","5,470",          2.33,"6,235","6,489",          0.96
1168059000,서울특별시 강남구 삼성2동,"30,937","13,782",          2.24,"14,817","16,120",          0.92
1168060000,서울특별시 강남구 대치1동,"23,913","7,253",          3.30,"11,994","11,919",          1.01
1168061000,서울특별시 강남구 대치2동,"36,750","12,941",          2.84,"18,562","18,188",          1.02
1168063000,서울특별시 강남구 대치4동,"19,438","10,120",          1.92,"9,216","10,222",          0.90
1168064000,서울특별시 강남구 역삼1동,"35,118","24,097",          1.46,"17,062","18,056",          0.94
1168065000,서울특별시 강남구 역삼2동,"36,542","15,813",          2.31,"17,110","19,432",          0.88
1168065500,서울특별시 강남구 도곡1동,"21,335","8,517",          2.50,"10,112","11,223",          0.90
