※ 매월 말일자 통계 현황,,,,,,,
,,2022년06월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4315038000,충청북도 제천시 송학면,"4,680","2,598",          1.80,"2,467","2,213",          1.11
4315051000,충청북도 제천시 교동,"18,405","7,814",          2.36,"9,081","9,324",          0.97
4315051800,충청북도 제천시 의림지동,"9,997","4,506",          2.22,"4,964","5,033",          0.99
4315052800,충청북도 제천시 중앙동,"5,720","3,083",          1.86,"2,822","2,898",          0.97
4315053700,충청북도 제천시 남현동,"4,875","2,576",          1.89,"2,436","2,439",          1.00
4315054700,충청북도 제천시 영서동,"10,067","4,931",          2.04,"5,042","5,025",          1.00
4315056000,충청북도 제천시 용두동,"18,577","9,571",          1.94,"9,278","9,299",          1.00
4315057700,충청북도 제천시 신백동,"11,037","5,260",          2.10,"5,527","5,510",          1.00
4315059000,충청북도 제천시 청전동,"15,442","8,076",          1.91,"7,787","7,655",          1.02
4315060500,충청북도 제천시 화산동,"15,110","7,069",          2.14,"7,641","7,469",          1.02
4372000000,충청북도 보은군 ,"31,798","17,079",          1.86,"16,034","15,764",          1.02
4372025000,충청북도 보은군 보은읍,"14,697","7,184",          2.05,"7,304","7,393",          0.99
4372031500,충청북도 보은군 속리산면,"1,849","1,094",          1.69,954,895,          1.07
4372032500,충청북도 보은군 장안면,"1,448",783,          1.85,764,684,          1.12
4372033000,충청북도 보은군 마로면,"2,160","1,235",          1.75,"1,046","1,114",          0.94
4372034000,충청북도 보은군 탄부면,"1,602",950,          1.69,787,815,          0.97
4372035000,충청북도 보은군 삼승면,"2,307","1,321",          1.75,"1,185","1,122",          1.06
4372036000,충청북도 보은군 수한면,"1,875","1,052",          1.78,952,923,          1.03
4372037000,충청북도 보은군 회남면,727,464,          1.57,399,328,          1.22
4372038500,충청북도 보은군 회인면,"1,727","1,036",          1.67,864,863,          1.00
4372039000,충청북도 보은군 내북면,"1,660",990,          1.68,849,811,          1.05
4372040000,충청북도 보은군 산외면,"1,746",970,          1.80,930,816,          1.14
4373000000,충청북도 옥천군 ,"49,914","25,484",          1.96,"25,187","24,727",          1.02
4373025000,충청북도 옥천군 옥천읍,"28,864","13,138",          2.20,"14,458","14,406",          1.00
4373031000,충청북도 옥천군 동이면,"3,231","1,829",          1.77,"1,667","1,564",          1.07
4373032000,충청북도 옥천군 안남면,"1,411",809,          1.74,712,699,          1.02
4373033000,충청북도 옥천군 안내면,"1,895","1,132",          1.67,970,925,          1.05
4373034000,충청북도 옥천군 청성면,"2,350","1,459",          1.61,"1,166","1,184",          0.98
4373035000,충청북도 옥천군 청산면,"2,962","1,777",          1.67,"1,442","1,520",          0.95
4373036000,충청북도 옥천군 이원면,"4,049","2,316",          1.75,"2,080","1,969",          1.06
4373037000,충청북도 옥천군 군서면,"2,165","1,282",          1.69,"1,137","1,028",          1.11
4373038000,충청북도 옥천군 군북면,"2,987","1,742",          1.71,"1,555","1,432",          1.09
4374000000,충청북도 영동군 ,"45,345","23,813",          1.90,"22,615","22,730",          0.99
4374025000,충청북도 영동군 영동읍,"19,953","9,411",          2.12,"9,851","10,102",          0.98
4374031000,충청북도 영동군 용산면,"3,285","1,880",          1.75,"1,681","1,604",          1.05
4374032000,충청북도 영동군 황간면,"4,091","2,182",          1.87,"2,077","2,014",          1.03
4374033500,충청북도 영동군 추풍령면,"2,217","1,255",          1.77,"1,105","1,112",          0.99
4374034000,충청북도 영동군 매곡면,"1,880","1,072",          1.75,945,935,          1.01
4374035000,충청북도 영동군 상촌면,"2,257","1,324",          1.70,"1,099","1,158",          0.95
4374036000,충청북도 영동군 양강면,"3,077","1,624",          1.89,"1,549","1,528",          1.01
4374037000,충청북도 영동군 용화면,967,593,          1.63,486,481,          1.01
4374038000,충청북도 영동군 학산면,"2,739","1,619",          1.69,"1,380","1,359",          1.02
4374039000,충청북도 영동군 양산면,"1,784","1,045",          1.71,884,900,          0.98
4374040000,충청북도 영동군 심천면,"3,095","1,808",          1.71,"1,558","1,537",          1.01
4374500000,충청북도 증평군 ,"37,024","18,267",          2.03,"19,237","17,787",          1.08
4374525000,충청북도 증평군 증평읍,"35,223","17,263",          2.04,"18,287","16,936",          1.08
4374531000,충청북도 증평군 도안면,"1,801","1,004",          1.79,950,851,          1.12
4375000000,충청북도 진천군 ,"85,817","42,003",          2.04,"45,233","40,584",          1.11
4375025000,충청북도 진천군 진천읍,"30,073","14,647",          2.05,"15,530","14,543",          1.07
4375025300,충청북도 진천군 덕산읍,"30,013","13,321",          2.25,"15,914","14,099",          1.13
4375025400,충청북도 진천군 덕산읍혁신도시출장소,0,0,          0.00,0,0,          0.00
4375032000,충청북도 진천군 초평면,"3,067","1,660",          1.85,"1,596","1,471",          1.08
4375033000,충청북도 진천군 문백면,"3,470","1,926",          1.80,"1,825","1,645",          1.11
4375034000,충청북도 진천군 백곡면,"2,088","1,243",          1.68,"1,074","1,014",          1.06
4375035000,충청북도 진천군 이월면,"6,286","3,525",          1.78,"3,360","2,926",          1.15
4375037000,충청북도 진천군 광혜원면,"10,820","5,681",          1.90,"5,934","4,886",          1.21
4376000000,충청북도 괴산군 ,"37,262","21,442",          1.74,"19,216","18,046",          1.06
4376025000,충청북도 괴산군 괴산읍,"9,481","5,034",          1.88,"4,877","4,604",          1.06
4376031000,충청북도 괴산군 감물면,"2,136","1,187",          1.80,"1,116","1,020",          1.09
4376032000,충청북도 괴산군 장연면,"1,915","1,166",          1.64,971,944,          1.03
4376033000,충청북도 괴산군 연풍면,"2,319","1,397",          1.66,"1,210","1,109",          1.09
4376034000,충청북도 괴산군 칠성면,"3,089","1,815",          1.70,"1,556","1,533",          1.02
4376035000,충청북도 괴산군 문광면,"2,213","1,296",          1.71,"1,130","1,083",          1.04
